Gene_Name,ENSEMBLID,Name_HUMAN,Drug_Name,Affinity,Class
EPHB6,ENSP00000481994,EPHB6_HUMAN,dasatinib,10.40893539,2
AXL,ENSP00000301178,UFO_HUMAN,foretinib,10.03151705,2
DDR1,ENSP00000427552,DDR1_HUMAN,foretinib,9.698970004,2
CAMKK1,ENSP00000158166,KKCC1_HUMAN,staurosporine,9.654673646,2
SLK,ENSP00000358770,SLK_HUMAN,staurosporine,9.602795627,2
MERTK,ENSP00000295408,MERTK_HUMAN,foretinib,9.568636236,2
LCK,ENSP00000337825,LCK_HUMAN,dasatinib,9.474717429,2
EPHA3,ENSP00000337451,EPHA3_HUMAN,dasatinib,9.463863519,2
EPHA5,ENSP00000480763,EPHA5_HUMAN,dasatinib,9.462734561,2
FRK,ENSP00000476145,FRK_HUMAN,dasatinib,9.46018771,2
ABL1,ENSP00000361423,ABL1_HUMAN,dasatinib,9.459694858999999,2
CAMK2A,ENSP00000381412,KCC2A_HUMAN,staurosporine,9.4437647,2
ABL1,ENSP00000361423,ABL1_HUMAN,bosutinib,9.401184387,2
HIPK4,ENSP00000291823,HIPK4_HUMAN,foretinib,9.292429824,2
STK10,ENSP00000176763,STK10_HUMAN,foretinib,9.27572413,2
BLK,ENSP00000259089,BLK_HUMAN,dasatinib,9.214753535,2
ICK,ENSP00000349458,ICK_HUMAN,alvocidib,9.161150909,2
EPHB2,ENSP00000363763,EPHB2_HUMAN,dasatinib,9.160336254,2
EPHA8,ENSP00000166244,EPHA8_HUMAN,dasatinib,9.151385996,2
RET,ENSP00000347942,RET_HUMAN,foretinib,9.13076828,2
PLK4,ENSP00000270861,PLK4_HUMAN,staurosporine,9.117319095,2
ERBB3,ENSP00000267101,ERBB3_HUMAN,bosutinib,9.113509275,2
TIE1,ENSP00000361554,TIE1_HUMAN,foretinib,9.102372909,2
PHKG2,ENSP00000455607,PHKG2_HUMAN,staurosporine,9.091859703999999,2
CAMKK2,ENSP00000312741,KKCC2_HUMAN,staurosporine,9.031989771000001,2
EGFR,ENSP00000275493,EGFR_HUMAN,erlotinib,9.023722768999999,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,foretinib,9.017728767000001,2
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,staurosporine,9.016304836,2
SIK2,ENSP00000305976,SIK2_HUMAN,staurosporine,9.014261523,2
GRK1,ENSP00000334876,RK_HUMAN,staurosporine,9.013228266,2
FLT3,ENSP00000241453,FLT3_HUMAN,sunitinib,9.010626215,2
EPHA3,ENSP00000337451,EPHA3_HUMAN,foretinib,9.0,2
FGR,ENSP00000363117,FGR_HUMAN,dasatinib,8.991731016000001,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,sunitinib,8.991464648,2
STK10,ENSP00000176763,STK10_HUMAN,staurosporine,8.968746157,2
STK4,ENSP00000361892,STK4_HUMAN,staurosporine,8.967777407,2
EGFR,ENSP00000275493,EGFR_HUMAN,gefitinib,8.967160352999999,2
PHKG1,ENSP00000445440,PHKG1_HUMAN,staurosporine,8.962677117,2
ABL2,ENSP00000427562,ABL2_HUMAN,dasatinib,8.962029921000001,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,dasatinib,8.961426966,2
EPHA6,ENSP00000374323,EPHA6_HUMAN,foretinib,8.958607315,2
DDR1,ENSP00000427552,DDR1_HUMAN,nilotinib,8.958607315,2
EPHB4,ENSP00000350896,EPHB4_HUMAN,dasatinib,8.946833406,2
KDR,ENSP00000263923,VGFR2_HUMAN,axitinib,8.934873577000001,2
EPHB1,ENSP00000381097,EPHB1_HUMAN,dasatinib,8.922579104,2
KDR,ENSP00000263923,VGFR2_HUMAN,cediranib,8.919646907,2
AAK1,ENSP00000386456,AAK1_HUMAN,staurosporine,8.909231385,2
EPHB6,ENSP00000481994,EPHB6_HUMAN,foretinib,8.886056648,2
PAK1,ENSP00000278568,PAK1_HUMAN,staurosporine,8.855919859,2
MET,ENSP00000317272,MET_HUMAN,foretinib,8.853871964,2
FLT1,ENSP00000282397,VGFR1_HUMAN,cediranib,8.841214992000001,2
SRC,ENSP00000362680,SRC_HUMAN,dasatinib,8.840443382,2
FLT4,ENSP00000261937,VGFR3_HUMAN,foretinib,8.823908741,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,dasatinib,8.823397688,2
FLT3,ENSP00000241453,FLT3_HUMAN,foretinib,8.815392071,2
ROCK2,ENSP00000317985,ROCK2_HUMAN,staurosporine,8.81172005,2
HCK,ENSP00000444986,HCK_HUMAN,dasatinib,8.807516617000001,2
MARK2,ENSP00000385751,MARK2_HUMAN,staurosporine,8.774319628999999,2
PRKCE,ENSP00000306124,KPCE_HUMAN,staurosporine,8.765666671,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,dasatinib,8.757129414,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,foretinib,8.744727495,2
EPHA8,ENSP00000166244,EPHA8_HUMAN,foretinib,8.744727495,2
EPHA4,ENSP00000281821,EPHA4_HUMAN,dasatinib,8.731091369,2
EPHA4,ENSP00000281821,EPHA4_HUMAN,foretinib,8.721246399,2
MARK4,ENSP00000262891,MARK4_HUMAN,staurosporine,8.708951991000001,2
MYLK3,ENSP00000378288,MYLK3_HUMAN,dovitinib,8.698970004,2
STK35,ENSP00000370891,STK35_HUMAN,bosutinib,8.698970004,2
TYRO3,ENSP00000263798,TYRO3_HUMAN,foretinib,8.698970004,2
MARK1,ENSP00000483424,MARK1_HUMAN,staurosporine,8.693058846,2
NUAK2,ENSP00000356125,NUAK2_HUMAN,staurosporine,8.686443902,2
RET,ENSP00000347942,RET_HUMAN,tivozanib,8.672286581,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,axitinib,8.668533726,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,sunitinib,8.662294076,2
BMX,ENSP00000350224,BMX_HUMAN,dasatinib,8.648811573,2
DDR2,ENSP00000356899,DDR2_HUMAN,dasatinib,8.63543877,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,axitinib,8.62960907,2
LCK,ENSP00000337825,LCK_HUMAN,bosutinib,8.623883034,2
MARK3,ENSP00000411397,MARK3_HUMAN,staurosporine,8.62219911,2
PAK2,ENSP00000314067,PAK2_HUMAN,staurosporine,8.621419563,2
FLT1,ENSP00000282397,VGFR1_HUMAN,axitinib,8.604040786,2
MAP3K7,ENSP00000358335,M3K7_HUMAN,staurosporine,8.602059991,2
TNK1,ENSP00000459799,TNK1_HUMAN,staurosporine,8.602059991,2
EPHA7,ENSP00000358309,EPHA7_HUMAN,foretinib,8.602059991,2
KIT,ENSP00000288135,KIT_HUMAN,foretinib,8.602059991,2
MAP2K5,ENSP00000178640,MP2K5_HUMAN,foretinib,8.602059991,2
PIM3,ENSP00000353824,PIM3_HUMAN,staurosporine,8.598631343,2
NTRK2,ENSP00000277120,NTRK2_HUMAN,staurosporine,8.595709419,2
FLT3,ENSP00000241453,FLT3_HUMAN,staurosporine,8.589621385,2
PRKCH,ENSP00000329127,KPCL_HUMAN,staurosporine,8.581646718,2
LYN,ENSP00000428924,LYN_HUMAN,dasatinib,8.56713768,2
KDR,ENSP00000263923,VGFR2_HUMAN,tivozanib,8.563840972000001,2
EPHA2,ENSP00000351209,EPHA2_HUMAN,dasatinib,8.554756155,2
PRKCA,ENSP00000408695,KPCA_HUMAN,staurosporine,8.551567379,2
FLT3,ENSP00000241453,FLT3_HUMAN,dovitinib,8.548115966000001,2
MAP4K2,ENSP00000294066,M4K2_HUMAN,staurosporine,8.544180528,2
KIT,ENSP00000288135,KIT_HUMAN,sunitinib,8.537308846,2
ULK2,ENSP00000378914,ULK2_HUMAN,staurosporine,8.531742046,2
FYN,ENSP00000346671,FYN_HUMAN,dasatinib,8.528881508,2
YES1,ENSP00000462468,YES_HUMAN,dasatinib,8.527664779,2
CAMK2D,ENSP00000339740,KCC2D_HUMAN,staurosporine,8.523245095,2
SLK,ENSP00000358770,SLK_HUMAN,foretinib,8.522878745,2
